Ranking		Car_ID		Year		Make		Model		Total
1		48		2015		Acura		TLX		62
2		124		2015		Jeep		Wrangler		124
3		222		2015		Lexus		Is250		40
4		207		1993		Honda		Civic eG		40
5		167		2016		Ford		Mystang		20
6		159		2013		Hyundai		Gen coupe		14
7		20		2009		Infiniti		G37		38
8		178		2009		Honda		Oddesy		72
9		30		2012		Hyundai		Celoster		66
10		1		2012		Subaru		WRX		6
11		51		2015		Subaru		WRX		50
12		183		2005		Volkswagen		Jetta		16
13		177		2005		Volkswagen		Jetta gli		12
14		5		2003		Acura		Rsx		50
15		218		2010		Chevy		Camaro		64
16		39		2011		Honda		Civic		72
17		68		2013		Nissan		Altima		10
18		10		2001		Nissan		S15		34
19		67		2015		Subaru		Sti		14
20		43		2011		Toyota		4 Runner		54
21		170		2014		Chevy		Cruze		50
22		216		2007		Chrystler		300		96
23		99		2014		Honda		Civic si		38
24		89		2014		Honda		Civic si		16
25		95		2004		Infiniti		G35		12
26		228		2010		Nissan		370		92
27		7		2014		Nissan		Sentra		30
28		14		1990		Nissan		Skyline		26
29		8		1991		Nissan		Skyline		44
30		145		1990		Volkswagen		Gti		38
31		102		2015		Honda		Accord		10
32		36		2016		Subaru		WRX		74
33		189		2012		Toyota		Fj cruiser		50
34		111		2007		Bmw		328i		10
35		140		1995		Mitsu		Evo8		44
36		161		2012		Nissan		370z		84
37		37		2015		Subaru		Sti		54
38		243		2008		Toyota		Matrix		10
39		184		2010		Volkswagen		Cc		8
40		66		2010		Volkswagen		Gti		4
41		101		2014		Honda		Civic		0
42		21		2009		Subaru		WRX		62
43		200		2016		Subaru		WRX		36
44		2		2016		Bmw		M2		24
45		23		1998		Subaru		Legacy		62
46		59		2012		Volkswagen		Golf		28
47		42		2001		Dodge		Viper		8
48		83		2014		Honda		Accord		112
49		16		2008		Nissan		350z		10
50		181		2003		Volkswagen		Gti		30
51		0		2015		Chevy		Camaro		0
52		88		2008		Honda		Accord		48
53		25		2012		Mercedes		C250		78
54		176		2014		Mitsu		Lancer		40
55		134		2013		Subaru		WRX		52
56		127		2013		Acura		Tsx		86
57		104		2014		Honda		Civic si		48
58		120		2014		Ford		Focus st		30
59		85		2017		Honda		Accord		42
60		Showcar		2014		Nissan		Gtr		44
61		108		2013		Audi		S4		14
62		98		2012		Mercedes		C63		26
63		130		2016		Honda		Civic si		24
64		12		1990		Nissan		240		62
65		232		2018		Subaru		WRX		46
66		Vip		2008		Volkswagen		Gli		16
67		96		2017		Volkswagen		Gti		10
68		15		2014		Audi		S4		120
69		65		2009		Honda		Fit		106
70		92		2017		Hyundai		Elantra sport		30
71		179		2004		Volkswagen		R32		38
72		63		2010		Honda		Civic		86
73		35		2016		Honda		Civic		60
74		79		1993		Mazda		Miata		18
75		4341		1992		Nissan		Rps13		32
76		156		2014		Volkswagen		Gli		56
77		220		2004		Audi		A4		14
78		44		2018		Honda		Civic si		40
79		19		2001		Mitsu		Evo7		40
80		123		2006		Lexus		Sc430		66
81		57		2015		Scion		Frs		80
82		230		2004		Acura		Tsx		20
83		33		2015		Subaru		Sti		68
84		75		2012		Subaru		WRX		6
85		175		2006		Honda		Civic		92
86		115		2001		Honda		Crv		56
87		153		2017		Subaru		Brz		42
88		76		2005		Subaru		Sti		12
89		56		2009		Volkswagen		Jetta		42
90		50		2015		Acura		TLX		102
91		163		2013		Mitsu		Ralliart		22
92		53		2013		Subaru		WRX		60
93		241		2007		Toyota		Camry		24
94		114		2010		Volkswagen		Gti		26
95		41		2012		Acura		Tsx		64
96		116		2008		Audi		A4		28
97		137		2017		Ford		Focus rs		54
98		212		2001		Lexus		Is300		6
99		52		2007		Mazda		Speed 3		48
100		93		2005		Acura		TL		22
101		226		2008		Honda		Accord		18
102		22		2007		Honda		Civic		24
103		70		2014		Honda		Civic		0
104		128		2010		Infiniti		G37		128
105		40		2007		Subaru		Legacy		6
106		238		1982		Volkswagen		Rabbit		28
107		31		2007		Honda		Fit		102
108		71		2008		Acura		TL		6
109		18		2015		Audi		S3		38
110		38		2017		Hyundai		Elantra sport		62
111		46		2008		Volkswagen		R32		32
112		49		1997		Acura		Integra		42
113		28		1995		Bmw		318xi		8
114		219		2016		Ford		Focus rs		26
115		185		2013		Volkswagen		Jett		8
116		162		2014		Nissan		370z		36
117		180		2011		Volkswagen		Gti		82
118		103		2010		Acura		Tsx		72
119		197		2010		Audi		A4		2
120		74		2015		Honda		Accord		8
121		150		2006		Nissan		350z		22
122		78		2015		Mazda		6		36
123		141		1993		Mazda		Miata		26
124		17		2016		Mercedes		C43		34
125		187		2007		Subaru		Legacy		26
126		69		2018		Subaru		WRX		8
127		100		2006		Volvo		S60r		22
128		112		2008		Acura		TL		110
129		172		2014		Bmw		4		22
130		91		2010		Mitsu		Lancer		102
131		158		2007		Nissan		350z		64
132		182		2012		Volkswagen		Cc		20
133		225		2016		Acura		TLX		52
134		81		2016		Volkswagen		GTI		24
135		6		2016		Volkswagen		Golf r		54
136		121		2012		Acura		TL		44
137		211		2004		Acura		Tsx		48
138		186		2012		Volkswagen		Gli		14
139		4		2007		Honda		Civic		14
140		72		2016		Honda		Civic si		4
141		45		2006		Acura		TL		42
142		1051		2006		Acura		Tsx		66
143		84		2012		Mercedes		Cl63amg		70
144		118		1993		Honda		Civic		44
145		174		2006		Acura		Rsx		4
146		138		1990		Mazda		Miata		10
147		242		2014		Nissan		Maxima		26
148		3		2011		Nissan		370		84
149		193		2014		Nissan		Ssntra		14
150		94		2004		Volkswagen		Gti		10
151		11		1991		Nissan		Skyline		30
152		86		1996		Volkswagen		Jetta		8
153		9		1996		Nissan		240		44
154		142		1993		Toyota		Supra		58
155		126		2010		Volkswagen		Eos		92
156		144		2016		Volkswagen		Gti		28
157		110		2011		Toyota		Camry		58
158		34		2010		Honda		Fit		18
159		190		1995		Lexus		Sc300		10
160		235		2013		Scion		Frs		20
161		24		2013		Subaru		BRZ		32
162		64		2004		Subaru		Forester		6
163		122		2011		Infiniti		M37s		44
164		106		2007		Acura		Tl type s		78
165		113		2012		Acura		Tsx sportwagon		116
166		13		2016		Honda		Civic 1.5t		92
167		237		1987		Volkswagen		Jetta		10
