Car_ID,Year,Make,Model,Total
0,2015,Chevy,Camaro,0
1,2012,Subaru,WRX,6
2,2016,Bmw,M2,24
3,2011,Nissan,370,84
4,2007,Honda,Civic,14
5,2003,Acura,Rsx,50
6,2016,Volkswagen,"Golf r",54
7,2014,Nissan,Sentra,30
8,1991,Nissan,Skyline,44
9,1996,Nissan,240,44
10,2001,Nissan,S15,34
11,1991,Nissan,Skyline,30
12,1990,Nissan,240,62
13,2016,Honda,"Civic 1.5t",92
14,1990,Nissan,Skyline,26
15,2014,Audi,S4,120
16,2008,Nissan,350z,10
17,2016,Mercedes,C43,34
18,2015,Audi,S3,38
19,2001,Mitsu,Evo7,40
20,2009,Infiniti,G37,38
21,2009,Subaru,WRX,62
22,2007,Honda,Civic,24
23,1998,Subaru,Legacy,62
24,2013,Subaru,BRZ,32
25,2012,Mercedes,C250,78
28,1995,Bmw,318xi,8
30,2012,Hyundai,Celoster,66
31,2007,Honda,Fit,102
33,2015,Subaru,Sti,68
34,2010,Honda,Fit,18
35,2016,Honda,Civic,60
36,2016,Subaru,WRX,74
37,2015,Subaru,Sti,54
38,2017,Hyundai,"Elantra sport",62
39,2011,Honda,Civic,72
40,2007,Subaru,Legacy,6
41,2012,Acura,Tsx,64
42,2001,Dodge,Viper,8
43,2011,Toyota,"4 Runner",54
44,2018,Honda,"Civic si",40
45,2006,Acura,TL,42
46,2008,Volkswagen,R32,32
48,2015,Acura,TLX,62
49,1997,Acura,Integra,42
50,2015,Acura,TLX,102
51,2015,Subaru,WRX,50
52,2007,Mazda,"Speed 3",48
53,2013,Subaru,WRX,60
56,2009,Volkswagen,Jetta,42
57,2015,Scion,Frs,80
59,2012,Volkswagen,Golf,28
63,2010,Honda,Civic,86
64,2004,Subaru,Forester,6
65,2009,Honda,Fit,106
66,2010,Volkswagen,Gti,4
67,2015,Subaru,Sti,14
68,2013,Nissan,Altima,10
69,2018,Subaru,WRX,8
70,2014,Honda,Civic,0
71,2008,Acura,TL,6
72,2016,Honda,"Civic si",4
74,2015,Honda,Accord,8
75,2012,Subaru,WRX,6
76,2005,Subaru,Sti,12
78,2015,Mazda,6,36
79,1993,Mazda,Miata,18
81,2016,Volkswagen,GTI,24
83,2014,Honda,Accord,112
84,2012,Mercedes,Cl63amg,70
85,2017,Honda,Accord,42
86,1996,Volkswagen,Jetta,8
88,2008,Honda,Accord,48
89,2014,Honda,"Civic si",16
91,2010,Mitsu,Lancer,102
92,2017,Hyundai,"Elantra sport",30
93,2005,Acura,TL,22
94,2004,Volkswagen,Gti,10
95,2004,Infiniti,G35,12
96,2017,Volkswagen,Gti,10
98,2012,Mercedes,C63,26
99,2014,Honda,"Civic si",38
100,2006,Volvo,S60r,22
101,2014,Honda,Civic,0
102,2015,Honda,Accord,10
103,2010,Acura,Tsx,72
104,2014,Honda,"Civic si",48
106,2007,Acura,"Tl type s",78
108,2013,Audi,S4,14
110,2011,Toyota,Camry,58
111,2007,Bmw,328i,10
112,2008,Acura,TL,110
113,2012,Acura,"Tsx sportwagon",116
114,2010,Volkswagen,Gti,26
115,2001,Honda,Crv,56
116,2008,Audi,A4,28
118,1993,Honda,Civic,44
120,2014,Ford,"Focus st",30
121,2012,Acura,TL,44
122,2011,Infiniti,M37s,44
123,2006,Lexus,Sc430,66
124,2015,Jeep,Wrangler,124
126,2010,Volkswagen,Eos,92
127,2013,Acura,Tsx,86
128,2010,Infiniti,G37,128
130,2016,Honda,"Civic si",24
134,2013,Subaru,WRX,52
137,2017,Ford,"Focus rs",54
138,1990,Mazda,Miata,10
140,1995,Mitsu,Evo8,44
141,1993,Mazda,Miata,26
142,1993,Toyota,Supra,58
144,2016,Volkswagen,Gti,28
145,1990,Volkswagen,Gti,38
150,2006,Nissan,350z,22
153,2017,Subaru,Brz,42.0
156,2014,Volkswagen,Gli,56
158,2007,Nissan,350z,64
159,2013,Hyundai,"Gen coupe",14
161,2012,Nissan,370z,84
162,2014,Nissan,370z,36
163,2013,Mitsu,Ralliart,22
167,2016,Ford,Mystang,20
170,2014,Chevy,Cruze,50
172,2014,Bmw,4,22
174,2006,Acura,Rsx,4
175,2006,Honda,Civic,92
176,2014,Mitsu,Lancer,40
177,2005,Volkswagen,"Jetta gli",12
178,2009,Honda,Oddesy,72
179,2004,Volkswagen,R32,38
180,2011,Volkswagen,Gti,82.0
181,2003,Volkswagen,Gti,30
182,2012,Volkswagen,Cc,20
183,2005,Volkswagen,Jetta,16
184,2010,Volkswagen,Cc,8
185,2013,Volkswagen,Jett,8
186,2012,Volkswagen,Gli,14
187,2007,Subaru,Legacy,26
189,2012,Toyota,"Fj cruiser",50
190,1995,Lexus,Sc300,10
193,2014,Nissan,Ssntra,14
197,2010,Audi,A4,2
200,2016,Subaru,WRX,36
207,1993,Honda,"Civic eG",40
211,2004,Acura,Tsx,48
212,2001,Lexus,Is300,6
216,2007,Chrystler,300,96
218,2010,Chevy,Camaro,64
219,2016,Ford,"Focus rs",26
220,2004,Audi,A4,14
222,2015,Lexus,Is250,40
225,2016,Acura,TLX,52
226,2008,Honda,Accord,18
228,2010,Nissan,370,92
230,2004,Acura,Tsx,20
232,2018,Subaru,WRX,46
235,2013,Scion,Frs,20
237,1987,Volkswagen,Jetta,10
238,1982,Volkswagen,Rabbit,28
241,2007,Toyota,Camry,24
242,2014,Nissan,Maxima,26
243,2008,Toyota,Matrix,10
1051,2006,Acura,Tsx,66
4341,1992,Nissan,Rps13,32
